card_id,card_name,issuer,country,network,card_type,link,monthly_fee,annual_fee,welcome_bonus_summary,best_for,one_liner,eligibility_summary,additional_card_fee,purchase_rate,cash_advance_rate,rewards_summary
rbc_avion_visa_infinite_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite.html,,120,"Get up to 55,000 Avion points 1 (max travel value of $1,100 † ), that’s up to 3 round trip flights","travel,flexible_travel_rewards,gas,food_delivery,car_rental,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.","A minimum personal income of $60,000 or a minimum household income of $100,000 is required for this card.",50,20.99%,22.99%,"Earn 1.25 Avion points on travel related purchases 12 1X Earn 1 Avion point on all other eligible purchases 2 55,000 Get up to 55,000 Avion points 1 (max travel value of $1,100 † ), that’s up to 3 round trip flights ^ How to Redeem Avion Points Book Flights for Maximum Value Make your Avion points go further with the Air Travel Redemption Schedule, which offers fixed point pricing 365 days a year † | Earn 1 Avion point on all other eligible purchases 2 55,000 Get up to 55,000 Avion points 1 (max travel value of $1,100 † ), that’s up to 3 round trip flights ^ How to Redeem Avion Points Book Flights for Maximum Value Make your Avion points go further with the Air Travel Redemption Schedule, which offers fixed point pricing 365 days a year †"
rbc_ion_plus_visa_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-plus-visa.html,,48,"Get up to 21,000 Avion points ^ - that’s up to $150 of value in gift cards! † Apply by May 6, 2026. View Offer Details Hide Offer Details Get 7,000 Welcome Points and earn 14,000 bonus points when you spend $1,500 in your first 6 months. ^","travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.",,0,20.99%,22.99%,
rbc_world_elite_mastercard_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-world-elite-mastercard.html,,139,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,59,20.99%,22.99%,
rbc_cashback_mastercard_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-cashback-mastercard.html,,0,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,0,20.99%,22.99%,
rbc_preferred_world_elite_mastercard_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-preferred-world-elite-mastercard.html,,99,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,"A minimum personal income of $80,000 or a minimum household income of $150,000 is required for this card.",0,20.99%,22.99%,
rbc_visa_classic_low_rateca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/low-interest/rbc-visa-classic-low-rate.html,,20,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,0,12.99%,22.99%,
rbc_ion_visa_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-visa.html,,0,"Get up to 11,000 Avion points ^ - that's up to $75 of value in gift cards † ! Apply by May 6, 2026. View Offer Details Hide Offer Details Get 4,000 Welcome Points and earn 7,000 bonus points when you spend $500 in your first 3 months ^ .","travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.",,0,20.99%,22.99%,
rbc_more_rewards_visa_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/rewards/more-rewards-rbc-visa.html,,0,,"travel,flexible_travel_rewards,gas,premium_travel_perks",Canadian rewards credit card.,,0,20.99%,22.99%,
rbc_moi_visa_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/rewards/moi-rbc-visa.html,,0,,"travel,flexible_travel_rewards,gas,premium_travel_perks",Canadian rewards credit card.,,0,20.99%,22.99%,
rbc_visa_platinum_avion_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/rbc-visa-platinum-avion.html,,120,"Get up to 55,000 Avion points 1 (max travel value of $1,100 † ), that’s up to 3 round trip flights","travel,flexible_travel_rewards,gas,food_delivery,car_rental,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.",,50,20.99%,22.99%,"Earn 1 Avion point on all other eligible purchases 2 55,000 Get up to 55,000 Avion points 1 (max travel value of $1,100 † ), that’s up to 3 round trip flights ^ How to Redeem Avion Points Earn More when You Book Flights Make your Avion points go further with the Air Travel Redemption Schedule, which offers fixed point pricing 365 days a year ^ Complete Your Entire Trip Use your Avion points towards hotel stays, car rentals and more using the simple conversion: 100 points = $1 19 , use them to cover taxes and fees, and more Unlock Even More Possibilities You can convert your Avion points to other frequent flyer programs 25 , use them to pay down your credit card balance, redeem them for great items, and more"
rbc_westjet_mastercard_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-mastercard.html,,39,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,19,20.99%,22.99%,
rbc_avion_visa_infinite_privilege_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite-privilege.html,,399,"Get up to 70,000 Avion points 1 - that’s a travel value of up to $1,500 † ! TRAVEL REWARDS Offer Available Enjoy up to 70,000 Avion points 1 (travel value of up to $1,500 † ) View Offer Details Hide Offer Details Get 35,000 Avion Points on approval 1 20,000 bonus points when you spend $5,000 in your first 6 months 1 15,000 one-time anniversary bonus points 1","travel,flexible_travel_rewards,gas,food_delivery,car_rental,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.","A minimum personal income of $200,000 or a minimum household income of $200,000 is required for this card.",99,20.99%,22.99%,
rbc_british_airways_visa_infinite_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/rbc-british-airways-visa-infinite.html,,165,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,75,20.50%,22.99%,
rbc_visa_platinum_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/no-fee/rbc-visa-platinum.html,,0,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks",Canadian rewards credit card.,,0,20.99%,22.99%,
rbc_us_dollar_visa_gold_ca,RBC Avion Visa Infinite,RBC,Canada,Visa,Credit Card,https://www.rbcroyalbank.com/credit-cards/travel/rbc-us-dollar-visa-gold.html,,65,,"travel,flexible_travel_rewards,gas,food_delivery,premium_travel_perks","Canadian travel rewards card for flexible flight redemptions, travel purchases, and premium Visa Infinite perks.",,30,20.99%,22.99%,
