card_id,card_name,issuer,country,network,card_type,link,monthly_fee,annual_fee,welcome_bonus_summary,best_for,one_liner,eligibility_summary,purchase_rate,cash_advance_rate,additional_card_fee,additional_card_fee_detail,rewards_summary,redemption_summary
td_cash_back_visa_infinite_ca,TD Cash Back Visa Infinite Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-infinite-card,,139,"Earn up to $600 in total value ^ , which includes 10% in Cash Back Dollars in the first 3 months on Bonus Eligible Purchases up to a total spend of $3,500 2 , # and receive an Annual Fee rebate for the first year 2 . Conditions apply.","cashback,daily_spend,automotive_perks,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.","$60,000 personal or $100,000 household annual income. | You are a Canadian resident and are of the age of majority in your province/territory of residence.",21.99%,22.99%,50,$50 for first Additional Cardholder; $0 for subsequent Additional Cardholders.,"Earn 3% in Cash Back Dollars on Grocery, Gas & Electric Vehicle Charging, and Public Transit Purchases 3 , # . | Earn 3% in Cash Back Dollars on Recurring Bill Payments, and Streaming, Digital Gaming & Media Purchases 3 , # . | Earn 1% in Cash Back Dollars on all other Purchases 5 , # .",Redeem your Cash Back Dollars to help pay down your Account balance whenever you please - the choice is yours 6 !
td_cash_back_visa_ca,Apply for a TD Cash Back Visa Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/cash-back/cash-back-visa-card,,0,,"cashback,daily_spend,automotive_perks,premium_perks","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,,,,Redeem your Cash Back Dollars annually or at any time – the choice is yours!
td_aeroplan_visa_platinum_card_ca,TD Aeroplan Visa Platinum Credit Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-platinum-card,,89,,"cashback,daily_spend,automotive_perks,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,35,,,
td_aeroplan_visa_infinite_privilege_card_ca,TD Aeroplan Visa Platinum Credit Card,TD,Canada,Visa,Credit Card,hhttps://www.td.com/ca/en/personal-banking/products/credit-cards/aeroplan/aeroplan-visa-infinite-privilege-card,,89,,"cashback,daily_spend,automotive_perks,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,35,,,
td_first_class_travel_visa_infinite_card_ca,TD First Class Travel Visa Infinite Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/first-class-travel-visa-infinite-card,,139,,"cashback,daily_spend,automotive_perks,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.","$60,000 personal or $100,000 household annual income.",21.99%,22.99%,50,,,
td_platinum_travel_visa_card_ca,TD Platinum Travel Visa Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/platinum-travel-visa-card,,89,,"cashback,daily_spend,automotive_perks,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,35,,,
td_rewards_visa_card_ca,TD Rewards Visa Credit Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/travel-rewards/rewards-visa-card,,0,,"cashback,daily_spend,automotive_perks,premium_perks","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,0,,,
td_low_rate_visa_card_ca,TD Low Rate Visa Credit Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/low-rate/low-rate-visa-card,,25,,"cashback,automotive_perks,premium_perks","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,12.90%,12.90%,0,,,
td_us_dollar_visa_card_ca,Apply for a TD U.S. Dollar Visa Card,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/personal-banking/products/credit-cards/us-dollar/us-dollar-visa-card,,39,,"cashback,premium_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,21.99%,22.99%,,,,
td_business_travel_visa_card_ca,Apply for a TD Business Travel Visa Card - TD Canada Trust,TD,Canada,Visa,Credit Card,https://www.td.com/ca/en/business-banking/small-business/credit-cards/business-travel-visa-card,,149,,"cashback,daily_spend,automotive_perks,travel","Canadian cash back credit card for groceries, gas, transit, recurring bills, streaming, and Visa Infinite benefits.",You are a Canadian resident and are of the age of majority in your province/territory of residence.,,,,,,
